,Especificação,Classe,Tipo
010645,Preparações antifervura para substâncias refrigerantes de motores,1,p
010571,Preparações antigerminantes para vegetais,1,p
010594,"Preparações bacterianas, exceto para uso médico ou veterinário",1,p
010009,Preparações bacteriológicas para acetificação,1,p
010595,"Preparações bacteriológicas, exceto para uso médico ou veterinário",1,p
010579,"Preparações biológicas, exceto para uso médico ou veterinário",1,p
010214,Preparações corrosivas,1,p
010221,Preparações criogênicas,1,p
010165,Preparações de carvão animal,1,p
010254,Preparações de purificação,1,p
010637,Preparações de elementos traço para plantas,1,p
010660,Preparações de enzima para a indústria de alimentos,1,p
010272,Preparações de enzima para uso industrial,1,p
010680,"Preparações de microrganismos, exceto para uso medicinal ou veterinário",1,p
010231,Preparações desengordurantes para uso em processo de manufatura,1,p
010239,Preparações desidratantes para uso industrial,1,p
010635,"Preparações desincrustantes, exceto para uso doméstico",1,p
010293,Preparações fertilizantes,1,p
010459,Preparações frigoríficas,1,p
010294,Preparações ignífugas,1,p
010023,Preparações para abrandar água,1,p
010215,Preparações para acabamento do couro,1,p
010216,Preparações para acabamento de peles,1,p
010017,Preparações para acabamento usadas na manufatura do aço,1,p
010557,Preparações para acelerar cozimento para uso industrial,1,p
010137,Preparações para brasagem,1,p
010200,Preparações para colagem de mostos,1,p
010270,Preparações para colar,1,p
010232,Preparações para descolar e separar,1,p
010234,Solventes de goma,1,p
010237,Preparações para desmoldagem,1,p
010582,Preparações para destilação de álcool de madeira,1,p
010243,"Preparações para diagnóstico, exceto para uso médico ou veterinário",1,p
010604,Preparações para dissociar gorduras,1,p
010169,Preparações para economizar carvão,1,p
010257,Preparações para economizar combustível,1,p
010249,Preparações para endurecer metal,1,p
010522,Preparações para evitar embaciamento de vidro,1,p
010296,Preparações para filtragem para a indústria de bebidas,1,p
010256,Preparações para fabricação de flashes,1,p
010324,Preparações para galvanização,1,p
010195,"Preparações para impermeabilização de cimento, exceto tintas",1,p
010307,Preparações para moldagem de fundição,1,p
010313,Preparações para pisoamento,1,p
010312,Preparações para pisoamento para uso na indústria têxtil,1,p
010377,Preparações para prevenir embaciamento de lentes,1,p
010275,Preparações para purificação do gás,1,p
010393,Preparações para recozer metal,1,p
010634,Preparações para regularizar o crescimento de plantas,1,p
010653,Preparações para remover papel de parede,1,p
010246,Preparações para renovar discos fonográficos,1,p
010682,Preparações para temperar metais,1,p
010549,Preparações para vulcanização,1,p
010015,Preparações químicas de condensação,1,p
010077,Preparações químicas para acabamentos da indústria têxtil,1,p
010181,"Substâncias químicas para análises em laboratório, exceto para uso médico ou veterinário",1,p
010317,Preparações químicas para defumar carne,1,p
010089,Preparações químicas para descarbonização de motores,1,p
010045,Preparações químicas para facilitar a liga de metais,1,p
010053,Preparações químicas para melhoramento de solo,1,p
010546,Preparações químicas para prevenir doenças da vinha,1,p
010719,Preparações químicas para prevenir doenças de plantas cerealíferas,1,p
010404,Preparações químicas para proteção contra mangra,1,p
010395,Preparações químicas para prevenir míldio,1,p
010177,"Preparações químicas para uso científico, exceto para uso médico ou veterinário",1,p
010211,Preparações químicas para uso em fotografia,1,p
010127,Preparações umectantes para uso em branqueamento [lavanderia],1,p
010398,Preparações umectantes para uso em tingimento [tinturaria],1,p
010530,Preparações umectantes para uso na indústria têxtil,1,p
010079,Preparações viscosas para enxertos de árvores,1,p
010145,Preservativos de borracha,1,p
010545,Produtos amaciadores de carne para uso industrial,1,p
010380,"Produtos para conservação de alvenaria, exceto tintas e óleos",1,p
010196,"Produtos para conservação de cimento, exceto tintas e óleos",1,p
010117,"Produtos para conservação de concreto, exceto tintas e óleos",1,p
010209,Produtos para conservação de flores,1,p
010381,"Produtos para conservação de tijolos, exceto tintas e óleos",1,p
010210,Produtos para conservação para uso na indústria farmacêutica,1,p
010107,"Produtos químicos, exceto pigmentos, para fabricação de esmaltes",1,p
010450,Promécio,1,p
010451,Protactínio,1,p
010452,Proteína [matéria-prima],1,p
010699,Proteínas para a indústria alimentícia,1,p
010697,Proteínas para uso em manufatura,1,p
010698,Proteínas para uso na fabricação de suplementos alimentares,1,p
010454,Quebracho para uso industrial,1,p
010458,Rádio para uso científico,1,p
010457,Radônio,1,p
010178,"Reagentes químicos, exceto para uso médico ou veterinário",1,p
010463,Rênio,1,p
010461,"Resinas acrílicas, não processadas",1,p
010274,"Resinas epóxi, não processadas",1,p
010707,"Resinas poliméricas, não processadas",1,p
010455,"Resinas sintéticas, não processadas",1,p
010435,Reveladores fotográficos,1,p
010708,Revestimentos químicos para lentes oftálmicas,1,p
010466,Rubídio,1,p
010472,Sabão [metálico] para uso industrial,1,p
010114,Sacarina,1,p
010478,Sais [fertilizantes],1,p
010475,Sais [preparações químicas],1,p
010060,Sais Amoniacais,1,p
010477,Sais crômicos,1,p
010567,Sais de amônio,1,p
010510,Sais de cálcio,1,p
010190,Sais de cromo,1,p
010290,Sais de ferro,1,p
010366,Sais de iodo,1,p
010388,Sais de mercúrio,1,p
010561,Sais de metais alcalinos,1,p
010162,Sais de metais de terras raras,1,p
010391,Sais de metais preciosos para uso industrial,1,p
010409,Sais de ouro,1,p
010491,Sais de sódio [compostos químicos],1,p
010548,Sais de viragem [fotografia],1,p
010261,Sais para pilhas galvânicas,1,p
010207,Sais para colorir metal,1,p
010397,Sais para uso industrial,1,p
010057,Sal amoníaco [cloreto de amônio],1,p
010476,Sal bruto,1,p
010410,Sal de azedas,1,p
010331,Sal gema,1,p
010003,"Sal para conservar, exceto para alimentos",1,p
010469,Salitre,1,p
010470,Samário,1,p
010479,Selênio,1,p
010436,Sensibilizadores fotográficos,1,p
010049,Silicato de alumínio,1,p
010481,Silicatos,1,p
010483,Silício,1,p
010484,Silicones,1,p
010488,Soda calcinada [carbonato de sódio],1,p
010490,Soda cáustica para uso industrial,1,p
010100,Soda do comércio [soda barrilha],1,p
010485,Sódio,1,p
010006,Soluções antiespumantes para baterias,1,p
010081,Soluções de sais de prata para pratear,1,p
010227,Soluções para cianotipia,1,p
010606,Solventes para vernizes,1,p
010494,Subnitrato de bismuto [nitrato básico de bismuto] para uso químico,1,p
010460,Subprodutos do processamento de cereais para uso industrial,1,p
010028,Substâncias adesivas para cartazes,1,p
010002,Substâncias adesivas para fins industriais,1,p
010573,Substâncias adesivas para ladrilhos,1,p
