,Especificação,Classe,Tipo
auxserv_6_1_21_139,"Assessoria, consultoria e informação em atividades desportivas e culturais",41,s
auxserv_6_1_21_140,"Assessoria, consultoria e informação em auditoria [gestão organizacional]",35,s
auxserv_6_1_21_141,"Assessoria, consultoria e informação em avaliação de antigüidades",36,s
auxserv_6_1_21_142,"Assessoria, consultoria e informação em avaliação de jóias",36,s
auxserv_6_1_21_143,"Assessoria, consultoria e informação em avaliação de obras de arte",36,s
auxserv_6_1_21_144,"Assessoria, consultoria e informação em avaliação filatélica",36,s
auxserv_6_1_21_145,"Assessoria, consultoria e informação em avaliação imobiliária",36,s
auxserv_6_1_21_146,"Assessoria, consultoria e informação em avaliação numismática",36,s
auxserv_6_1_21_147,"Assessoria, consultoria e informação em compilação de informações em bancos de dados de computador",35,s
auxserv_6_1_21_148,"Assessoria, consultoria e informação em comunicação no campo áudio visual",38,s
auxserv_6_1_21_149,"Assessoria, consultoria e informação em contabilidade",35,s
auxserv_6_1_21_150,"Assessoria, consultoria e informação em crédito",36,s
auxserv_6_1_21_151,"Assessoria, consultoria e informação em culinária",43,s
auxserv_6_1_21_152,"Assessoria, consultoria e informação em dedetização",37,s
auxserv_6_1_21_153,"Assessoria, consultoria e informação em distribuição de energia",39,s
auxserv_6_1_21_154,"Assessoria, consultoria e informação em edição",41,s
auxserv_6_1_21_155,"Assessoria, consultoria e informação em educação [instrução]",41,s
auxserv_6_1_21_156,"Assessoria, consultoria e informação em educação física",41,s
auxserv_6_1_21_157,"Assessoria, consultoria e informação em embalagem",39,s
auxserv_6_1_21_158,"Assessoria, consultoria e informação em empréstimos",36,s
auxserv_6_1_21_159,"Assessoria, consultoria e informação em entretenimento [lazer]",41,s
auxserv_6_1_21_160,"Assessoria, consultoria e informação em estética capilar",44,s
auxserv_6_1_21_161,"Assessoria, consultoria e informação em estética pessoal [tratamento de pele e cabelo]",44,s
auxserv_6_1_21_162,"Assessoria, consultoria e informação em franquia, exceto licenciamento da propriedade intelectual [gestão comercial]",35,s
auxserv_6_1_21_163,"Assessoria, consultoria e informação em fundo de investimentos",36,s
auxserv_6_1_21_164,"Assessoria, consultoria e informação em gestão de negócios e comercialização de produtos sob contrato de franquia",35,s
auxserv_6_1_21_165,"Assessoria, consultoria e informação em gestão de negócios para companhias industriais ou comerciais",35,s
auxserv_6_1_21_166,"Assessoria, consultoria e informação em investigações, avaliações e pesquisas em negócios",35,s
auxserv_6_1_21_167,"Assessoria, consultoria e informação em investimentos",36,s
auxserv_6_1_21_168,"Assessoria, consultoria e informação em manutenção de instalações de esgoto",37,s
auxserv_6_1_21_169,"Assessoria, consultoria e informação em marketing",35,s
