,Especificação,Classe,Tipo
auxprod6_1_21_336,Aplique [cabelo artificial],26,p
auxprod6_1_21_337,Apoio de mão para pintor,16,p
auxprod6_1_21_338,Apoio para braço [móvel],20,p
auxprod6_1_21_339,Apoio para cardápio [móvel],20,p
auxprod6_1_21_340,Apoio para livro [móvel],20,p
auxprod6_1_21_341,Apoio para telefone [móvel],20,p
auxprod6_1_21_342,"Apoio tipo banqueta para a cabeça, não metálico",20,p
auxprod6_1_21_343,Apontador para lápis de maquiagem,16,p
auxprod6_1_21_344,Apostila para fim educacional,16,p
auxprod6_1_21_345,Aquário [estrutura do tipo tanque],19,p
auxprod6_1_21_346,Aquário para peixe [para interiores],21,p
auxprod6_1_21_347,Aquecedor a gás de uso doméstico,11,p
auxprod6_1_21_348,Aquecedor elétrico de ar ou de água para uso doméstico,11,p
auxprod6_1_21_349,Aquecedor industrial,11,p
auxprod6_1_21_350,"Aquecedores, autoclaves, agitadores, evaporadores e aparelhos para purificação 
da água para utilização exclusiva em laboratórios",9,p
auxprod6_1_21_351,"Aquecedores, autoclaves, evaporadores e aparelhos para purificação da água 
para utilização doméstica ou comercial",11,p
auxprod6_1_21_352,Ar condicionado e umidificador de ar central de uso industrial,11,p
auxprod6_1_21_353,"Araçá [fruto do araçazeiro, produto fresco]",31,p
auxprod6_1_21_354,Arado de tração animal e puxado por trator [parte de máquina agrícola],7,p
auxprod6_1_21_355,Arado manual [de propulsão muscular],8,p
auxprod6_1_21_356,Araruta,31,p
auxprod6_1_21_357,Arbusto artificial,26,p
auxprod6_1_21_358,Arbusto natural,31,p
auxprod6_1_21_359,Arca,20,p
auxprod6_1_21_360,"Arcabuz [antiga arma de fogo portátil, espécie de bacamarte]",13,p
auxprod6_1_21_361,Arco de serra,8,p
auxprod6_1_21_362,Arco metálico para estufas de plantas,6,p
auxprod6_1_21_363,Arco para exercício,28,p
auxprod6_1_21_364,Areia,19,p
auxprod6_1_21_365,Areia monazítica para construção,19,p
auxprod6_1_21_366,Argamassa de amianto,19,p
auxprod6_1_21_367,"Argentita [mineral monométrico, sulfeto de prata, um dos minérios de prata mais 
preciosos e ricos]",6,p
auxprod6_1_21_368,"Argila ativada para uso na indústria alimentícia, para refino e absorção de 
pigmento lipossolúvel",1,p
auxprod6_1_21_369,Argila para construção,19,p
auxprod6_1_21_370,Argila para estética,3,p
auxprod6_1_21_371,Argola de borracha para vedação,17,p
auxprod6_1_21_372,Argola de uso pessoal [bijuteria],14,p
auxprod6_1_21_373,Argola ou elo de ligadura para uso cirúrgico,10,p
auxprod6_1_21_374,Arma de estoque,8,p
auxprod6_1_21_375,Arma para lançamento de míssil,13,p
auxprod6_1_21_376,Armação de cadeira e poltrona,20,p
auxprod6_1_21_377,"Armação de treliça [sistema de vigas cruzadas empregado no travejamento das 
pontes]",19,p
auxprod6_1_21_378,Armação para bordado,20,p
